date,symbol,asset_type,strategy,position,close
2025-10-29,TLKM,stock_id,Buy & Hold (benchmark),1.0,3041.9541015625
2025-10-30,TLKM,stock_id,Buy & Hold (benchmark),1.0,3004.969970703125
2025-10-31,TLKM,stock_id,Buy & Hold (benchmark),1.0,2967.98583984375
2025-11-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,3097.4306640625
2025-11-04,TLKM,stock_id,Buy & Hold (benchmark),1.0,3236.12158203125
2025-11-05,TLKM,stock_id,Buy & Hold (benchmark),1.0,3273.105712890625
2025-11-06,TLKM,stock_id,Buy & Hold (benchmark),1.0,3217.62939453125
2025-11-07,TLKM,stock_id,Buy & Hold (benchmark),1.0,3208.38330078125
2025-11-10,TLKM,stock_id,Buy & Hold (benchmark),1.0,3180.64501953125
2025-11-11,TLKM,stock_id,Buy & Hold (benchmark),1.0,3254.613525390625
2025-11-12,TLKM,stock_id,Buy & Hold (benchmark),1.0,3291.597900390625
2025-11-13,TLKM,stock_id,Buy & Hold (benchmark),1.0,3236.12158203125
2025-11-14,TLKM,stock_id,Buy & Hold (benchmark),1.0,3282.351806640625
2025-11-17,TLKM,stock_id,Buy & Hold (benchmark),1.0,3337.828125
2025-11-18,TLKM,stock_id,Buy & Hold (benchmark),1.0,3347.07421875
2025-11-19,TLKM,stock_id,Buy & Hold (benchmark),1.0,3374.8125
2025-11-20,TLKM,stock_id,Buy & Hold (benchmark),1.0,3365.56640625
2025-11-21,TLKM,stock_id,Buy & Hold (benchmark),1.0,3236.12158203125
2025-11-24,TLKM,stock_id,Buy & Hold (benchmark),1.0,3421.042724609375
2025-11-25,TLKM,stock_id,Buy & Hold (benchmark),1.0,3374.8125
2025-11-26,TLKM,stock_id,Buy & Hold (benchmark),1.0,3439.534912109375
2025-11-27,TLKM,stock_id,Buy & Hold (benchmark),1.0,3300.843994140625
2025-11-28,TLKM,stock_id,Buy & Hold (benchmark),1.0,3245.36767578125
2025-12-01,TLKM,stock_id,Buy & Hold (benchmark),1.0,3374.8125
2025-12-02,TLKM,stock_id,Buy & Hold (benchmark),1.0,3291.597900390625
2025-12-03,TLKM,stock_id,Buy & Hold (benchmark),1.0,3310.090087890625
